DataSize,Comparisons,Time
1000,19150,0
1000,19200,0
1000,19192,0
1000,19156,0
1000,19138,0
1000,19146,0
1000,19270,0
1000,19246,0
1000,19286,0
1000,19254,0
1000,19120,1
1000,19192,0
1000,19030,0
1000,19236,0
1000,19114,0
1000,19188,0
1000,19162,0
1000,19130,0
1000,19150,0
1000,19176,0
1000,19230,0
1000,19106,0
1000,19170,0
1000,19178,0
1000,19264,0
1000,19118,0
1000,19174,0
1000,19096,0
1000,19218,0
1000,19140,0
1000,19202,0
1000,19166,0
1000,19198,0
1000,19168,0
1000,19162,1
1000,19076,0
1000,19184,1
1000,19146,0
1000,19180,0
1000,19192,0
2000,42328,0
2000,42330,1
2000,42232,0
2000,42256,0
2000,42332,0
2000,42384,0
2000,42336,0
2000,42238,1
2000,42306,0
2000,42268,0
2000,42462,0
2000,42278,0
2000,42344,0
2000,42402,0
2000,42384,0
2000,42308,0
2000,42342,0
2000,42352,1
2000,42240,0
2000,42294,0
2000,42280,1
2000,42388,0
2000,42398,0
2000,42316,0
2000,42414,0
2000,42356,1
2000,42270,0
2000,42162,0
2000,42388,0
2000,42152,0
2000,42388,1
2000,42472,1
2000,42418,0
2000,42184,0
2000,42368,1
2000,42340,0
2000,42348,0
2000,42248,1
2000,42398,0
2000,42304,0
3000,67162,0
3000,67222,0
3000,67182,0
3000,67204,0
3000,67128,0
3000,67208,0
3000,67218,0
3000,67202,0
3000,67186,0
3000,67092,0
3000,67266,0
3000,67092,0
3000,67126,0
3000,67336,0
3000,67136,1
3000,67160,1
3000,67214,0
3000,67022,0
3000,67318,0
3000,67216,0
3000,67108,1
3000,67100,1
3000,67218,1
3000,67272,1
3000,67256,0
3000,67186,0
3000,67284,0
3000,67048,1
3000,67214,0
3000,67208,0
3000,67130,1
3000,67254,0
3000,67166,0
3000,67120,0
3000,67122,1
3000,67236,0
3000,67174,0
3000,67146,0
3000,67256,1
3000,67280,0
4000,92646,0
4000,92796,0
4000,92570,0
4000,92646,0
4000,92726,1
4000,92516,1
4000,92552,1
4000,92568,1
4000,92610,1
4000,92526,1
4000,92728,1
4000,92760,1
4000,92656,1
4000,92666,1
4000,92536,1
4000,92774,1
4000,92776,1
4000,92684,1
4000,92654,1
4000,92566,1
4000,92788,1
4000,92632,1
4000,92742,1
4000,92554,1
4000,92820,1
4000,92480,1
4000,92674,1
4000,92736,1
4000,92712,1
4000,92620,1
4000,92690,1
4000,92722,1
4000,92692,1
4000,92770,1
4000,92626,1
4000,92614,1
4000,92630,1
4000,92718,1
4000,92604,1
4000,92722,0
5000,119166,0
5000,119284,0
5000,119454,1
5000,119236,0
5000,119170,1
5000,119356,1
5000,119146,0
5000,119204,0
5000,119296,1
5000,119194,1
5000,119316,0
5000,119182,0
5000,119310,1
5000,119186,1
5000,119330,0
5000,119044,1
5000,119096,1
5000,119234,0
5000,119104,0
5000,119468,0
5000,119246,0
5000,119180,0
5000,119072,1
5000,119264,1
5000,119440,1
5000,119266,0
5000,119226,0
5000,119218,0
5000,119296,1
5000,119200,1
5000,119362,1
5000,119334,1
5000,119156,0
5000,118966,0
