DataSize,Comparisons,Time
1000,8711,1
1000,8676,0
1000,8709,0
1000,8712,0
1000,8720,1
1000,8725,0
1000,8717,1
1000,8697,0
1000,8736,1
1000,8694,0
1000,8697,0
1000,8726,0
1000,8727,0
1000,8701,0
1000,8726,0
1000,8728,1
1000,8726,0
1000,8690,0
1000,8721,0
1000,8716,1
1000,8695,0
1000,8707,1
1000,8694,0
1000,8723,0
1000,8713,0
1000,8679,0
1000,8680,1
1000,8718,0
1000,8709,0
1000,8724,0
1000,8681,0
1000,8725,1
1000,8727,0
1000,8713,0
1000,8706,0
1000,8692,0
1000,8737,0
1000,8701,0
1000,8718,0
1000,8713,0
2000,19385,1
2000,19439,0
2000,19404,1
2000,19425,0
2000,19396,1
2000,19399,1
2000,19425,0
2000,19452,0
2000,19420,0
2000,19379,0
2000,19443,1
2000,19395,0
2000,19349,0
2000,19420,1
2000,19460,1
2000,19420,1
2000,19390,1
2000,19400,0
2000,19438,0
2000,19408,1
2000,19392,0
2000,19407,0
2000,19419,1
2000,19403,0
2000,19439,1
2000,19397,0
2000,19402,0
2000,19385,1
2000,19388,0
2000,19444,1
2000,19424,0
2000,19460,0
2000,19484,0
2000,19393,0
2000,19429,0
2000,19399,0
2000,19399,1
2000,19494,0
2000,19425,0
2000,19430,0
3000,30933,1
3000,30974,1
3000,30923,1
3000,30929,1
3000,30865,1
3000,30946,1
3000,30902,1
3000,30901,0
3000,30917,0
3000,30987,1
3000,30961,1
3000,30961,1
3000,30868,1
3000,30888,0
3000,31003,0
3000,30887,0
3000,30924,0
3000,30912,0
3000,30900,1
3000,30909,1
3000,30865,3
3000,30935,0
3000,30868,0
3000,30943,0
3000,30918,0
3000,30864,1
3000,30875,1
3000,30882,0
3000,30871,0
3000,30874,1
3000,30908,0
3000,30946,0
3000,30915,0
3000,30937,1
3000,31013,0
3000,30944,0
3000,30882,1
3000,30899,1
3000,30912,0
3000,30902,0
4000,42898,1
4000,42802,0
4000,42904,1
4000,42842,0
4000,42826,0
4000,42833,0
4000,42832,0
4000,42808,0
4000,42854,0
4000,42789,0
4000,42786,0
4000,42853,0
4000,42843,0
4000,42819,0
4000,42798,0
4000,42813,0
4000,42805,0
4000,42837,0
4000,42821,0
4000,42765,0
4000,42768,0
4000,42826,0
4000,42844,0
4000,42848,0
4000,42803,0
4000,42866,0
4000,42804,0
4000,42788,0
4000,42902,0
4000,42780,0
4000,42806,0
4000,42848,0
4000,42805,0
4000,42834,0
4000,42775,0
4000,42789,0
4000,42851,0
4000,42838,0
4000,42756,0
4000,42858,1
5000,55238,1
5000,55247,1
5000,55207,1
5000,55233,1
5000,55210,1
5000,55220,0
5000,55209,1
5000,55196,1
5000,55194,1
5000,55295,0
5000,55246,1
5000,55272,1
5000,55222,1
5000,55211,0
5000,55200,1
5000,55246,1
5000,55217,0
5000,55159,1
5000,55248,1
5000,55269,1
5000,55208,2
5000,55228,1
5000,55288,0
5000,55238,0
5000,55210,0
5000,55229,0
5000,55253,1
5000,55199,1
5000,55167,1
5000,55205,0
5000,55248,0
5000,55225,0
5000,55220,1
5000,55242,1
5000,55254,1
5000,55175,1
5000,55205,1
5000,55242,1
5000,55195,1
5000,55185,1
6000,67841,0
6000,67835,1
6000,67839,1
6000,67878,0
6000,67883,1
6000,67783,1
6000,67821,0
6000,67850,0
6000,67793,1
6000,67791,1
6000,67847,0
6000,67790,1
6000,67803,1
6000,67840,0
6000,67890,0
6000,67871,1
6000,67857,1
6000,67854,0
6000,67887,1
6000,67844,0
6000,67827,1
6000,67825,1
6000,67890,1
6000,67824,0
6000,67800,1
6000,67764,1
6000,67825,0
6000,67763,0
6000,67863,1
6000,67852,1
6000,67853,0
6000,67830,1
6000,67907,1
6000,67924,0
6000,67819,1
6000,67849,1
6000,67797,0
6000,67851,1
6000,67830,0
6000,67826,0
7000,80611,1
7000,80691,1
7000,80754,1
7000,80706,1
7000,80692,1
7000,80778,1
7000,80698,1
7000,80630,1
7000,80662,1
7000,80681,1
7000,80746,1
7000,80630,2
7000,80666,1
7000,80702,1
7000,80553,1
7000,80693,1
7000,80725,1
7000,80742,1
7000,80706,1
7000,80732,2
7000,80729,1
7000,80675,1
7000,80613,1
7000,80725,1
7000,80666,1
7000,80614,1
7000,80697,1
7000,80702,1
7000,80751,1
7000,80730,1
7000,80668,1
7000,80742,2
7000,80624,1
7000,80681,1
7000,80682,1
7000,80631,1
7000,80714,1
7000,80630,1
7000,80641,1
7000,80652,1
8000,93690,1
8000,93661,1
8000,93576,1
8000,93654,0
8000,93679,1
8000,93552,1
8000,93702,1
8000,93651,1
8000,93693,1
8000,93696,1
8000,93632,0
8000,93650,1
8000,93582,1
8000,93747,1
8000,93672,1
8000,93654,1
8000,93596,1
8000,93641,1
8000,93668,1
8000,93632,1
8000,93568,1
8000,93611,1
8000,93710,2
8000,93604,2
8000,93604,1
8000,93602,1
8000,93744,1
8000,93697,1
8000,93638,1
8000,93655,1
8000,93588,1
8000,93655,0
8000,93602,1
8000,93772,1
8000,93712,1
8000,93705,0
8000,93620,1
8000,93625,1
8000,93667,1
8000,93608,1
9000,107013,1
9000,106926,1
9000,106985,1
9000,107011,1
9000,106926,1
9000,106991,1
9000,106793,1
9000,106961,1
9000,106907,1
9000,107057,1
9000,107008,1
9000,107017,1
9000,106926,1
9000,106951,1
9000,106976,1
9000,106945,1
9000,106958,1
9000,106951,1
9000,107023,1
9000,106962,1
9000,107014,1
9000,106962,1
9000,106945,1
9000,107023,1
9000,106875,1
9000,106945,1
9000,106915,1
9000,107021,1
9000,106977,1
9000,107006,1
9000,107032,1
9000,106930,1
9000,106926,1
9000,106924,1
9000,107078,3
9000,107019,1
9000,106986,1
9000,106930,1
9000,106884,1
9000,107009,1
10000,120470,1
10000,120475,1
10000,120443,1
10000,120415,1
10000,120427,1
10000,120422,1
10000,120417,1
10000,120465,1
10000,120531,1
10000,120487,1
10000,120439,1
10000,120450,1
10000,120484,1
10000,120499,1
10000,120404,1
10000,120372,1
10000,120511,1
10000,120497,2
10000,120495,1
10000,120471,1
10000,120438,1
10000,120439,1
10000,120422,1
10000,120414,1
10000,120421,2
10000,120465,1
10000,120562,1
10000,120504,1
10000,120451,2
10000,120378,1
10000,120408,1
10000,120501,1
10000,120500,1
10000,120367,2
10000,120428,1
10000,120455,1
10000,120456,2
10000,120435,1
10000,120379,1
10000,120447,1
11000,134113,1
11000,133986,1
11000,134020,1
11000,133928,2
11000,134015,1
11000,133913,1
11000,133947,2
11000,133990,1
11000,134012,3
11000,134089,1
11000,134141,2
11000,133948,1
11000,133987,2
11000,134059,1
11000,133996,2
11000,134053,2
11000,134013,2
11000,134143,1
11000,134044,1
11000,134090,1
11000,133875,1
11000,134068,1
11000,133985,1
11000,134019,2
11000,134027,1
11000,133869,2
11000,134146,1
11000,133897,2
11000,134026,1
11000,133993,1
11000,134006,1
11000,133995,1
11000,134048,1
11000,133966,1
11000,134013,1
11000,134147,2
11000,134030,1
11000,133957,1
11000,134000,1
11000,133992,2
12000,147606,1
12000,147738,2
12000,147737,1
12000,147699,1
12000,147692,2
12000,147616,1
12000,147649,1
12000,147724,2
12000,147691,2
12000,147665,1
12000,147708,2
12000,147751,2
12000,147626,2
12000,147528,1
12000,147651,1
12000,147584,1
12000,147750,2
12000,147697,2
12000,147779,1
12000,147709,1
12000,147617,2
12000,147504,1
12000,147635,1
12000,147716,3
12000,147555,1
12000,147659,1
12000,147675,2
12000,147768,2
12000,147765,2
12000,147598,1
12000,147591,1
12000,147669,2
12000,147635,1
12000,147619,1
12000,147721,1
12000,147747,2
12000,147625,2
12000,147660,1
12000,147720,2
12000,147688,1
